ALT;name;generation;DISCR
evo;evo_20180305-2250;2999;0,94
evo;evo_20180305-2333;2983;0,94
evo;evo_20180305-2354;590;0,97
evo;evo_20180305-2357;2543;0,96
evo;evo_20180306-0009;1309;0,92
evo;evo_20180306-0025;1450;0,93
evo;evo_20180306-0027;2999;0,96
evo;evo_20180306-0044;1758;0,97
evo;evo_20180306-0055;2761;0,96
evo;evo_20180306-0944;2999;0,8
evo;evo_20180306-1031;798;0,94
evo;evo_20180306-1050;2230;0,94
evo;evo_20180306-1100;2999;0,89
evo;evo_20180306-1110;406;0,97
evo;evo_20180306-1115;2876;0,94
evo;evo_20180306-1124;251;0,94
evo;evo_20180306-1129;527;0,93
evo;evo_20180306-1141;543;0,94
evo;evo_20180306-1153;627;0,94
evo;evo_20180306-1220;2999;0,85
evo;evo_20180306-1246;2688;0,9
evo;evo_20180306-1300;884;0,97
evo;evo_20180306-1317;990;0,94
evo;evo_20180306-1326;1514;0,94
evo;evo_20180306-1331;2294;0,93
evo;evo_20180306-1342;255;0,94
evo;evo_20180306-1401;2999;0,94
evo;evo_20180306-1409;431;0,96
evo;evo_20180306-1436;990;0,96
evo;evo_20180306-1441;2846;0,97
evo;evo_20180306-1509;2134;0,94
evo;evo_20180307-1444;2457;0,93
evo;evo_20180307-1503;2999;0,85
evo;evo_20180307-1516;1971;0,93
evo;evo_20180307-1525;2999;0,82
evo;evo_20180307-1543;1647;0,97
evo;evo_20180307-1553;2757;0,93
evo;evo_20180307-1601;320;0,96
evo;evo_20180307-1603;796;0,97
evo;evo_20180307-1605;2999;0,82
evo;evo_20180307-1606;1669;0,97
evo;evo_20180307-1615;2999;0,85
evo;evo_20180307-1619;2999;0,89
evo;evo_20180307-1626;1837;0,97
evo;evo_20180307-1634;999;0,96
evo;evo_20180307-1640;463;0,95
evo;evo_20180307-1641;2999;0,82
evo;evo_20180307-1644;2999;0,85
evo;evo_20180307-1658;1081;0,96
evo;evo_20180307-1703;2999;0,83
evo;evo_20180307-1704;919;0,93
evo;evo_20180307-1710;185;0,97
evo;evo_20180307-1711;443;0,97
evo;evo_20180307-1714;1941;0,97
evo;evo_20180307-1718;1688;0,93
evo;evo_20180307-1726;478;0,97
evo;evo_20180307-1728;2999;0,92
evo;evo_20180307-1730;282;0,98
evo;evo_20180307-1731;176;0,94
evo;evo_20180307-1732;186;0,97
evo;evo_20180307-1733;265;0,97
evo;evo_20180307-1735;1542;0,96
evo;evo_20180307-1742;631;0,99
evo;evo_20180307-1746;2999;0,96
evo;evo_20180307-1751;2999;0,92
