Timestamp,NB_Selection,NB_Blank,NB_Miss,NB_CxtChange,NB_Idle,T_Idle,NB_QA,T_QA,T_Total,RT_Success,NB_Block,NB_Typos,NB_DesignErr,NB_Bug,Detection,RT_Recover,T_Recover
2021/06/08 4:45:04 PM AST,76.00,0.00,2.00,0.00,1.00,6.00,4.00,27.00,255.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,11.00
2021/06/10 2:28:46 PM AST,56.00,8.00,0.00,0.00,3.00,21.00,2.00,30.00,390.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,10.00
2021/06/10 4:03:30 PM AST,28.00,0.00,2.00,0.00,1.00,4.00,1.00,6.00,180.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/10 6:06:21 PM AST,40.00,2.00,2.00,0.00,2.00,7.00,1.00,10.00,210.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,6.00
2021/06/14 2:37:17 PM AST,48.00,2.00,0.00,0.00,3.00,10.00,1.00,8.00,460.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,12.00
2021/06/14 4:14:06 PM AST,43.00,5.00,0.00,0.00,2.00,6.00,1.00,12.00,255.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/15 9:56:44 AM AST,52.00,3.00,0.00,0.00,0.00,0.00,1.00,2.00,205.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/15 2:30:54 PM AST,39.00,0.00,0.00,0.00,3.00,15.00,1.00,2.00,195.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/16 8:23:29 PM AST,40.00,2.00,0.00,0.00,1.00,5.00,2.00,10.00,300.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/17 1:11:18 PM AST,49.00,2.00,0.00,0.00,1.00,4.00,0.00,0.00,240.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/17 2:50:52 PM AST,44.00,2.00,3.00,5.00,2.00,7.00,0.00,0.00,230.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021/06/17 6:28:55 PM AST,48.00,2.00,2.00,2.00,4.00,26.00,3.00,14.00,430.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/18 3:59:30 PM AST,38.00,4.00,1.00,0.00,1.00,2.00,1.00,6.00,330.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,10.00
2021/06/21 5:35:54 AM AST,68.00,9.00,3.00,0.00,6.00,26.00,2.00,24.00,540.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/21 5:27:43 PM AST,58.00,8.00,2.00,0.00,4.00,12.00,3.00,26.00,470.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/21 8:01:14 PM AST,55.00,0.00,1.00,0.00,3.00,9.00,1.00,8.00,280.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/22 5:47:10 PM AST,48.00,0.00,1.00,0.00,2.00,5.00,1.00,8.00,210.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/22 8:50:15 PM AST,52.00,3.00,0.00,0.00,2.00,11.00,2.00,8.00,375.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/23 12:54:20 PM AST,47.00,3.00,2.00,0.00,2.00,8.00,1.00,26.00,270.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/25 1:21:53 PM AST,75.00,6.00,7.00,0.00,2.00,12.00,1.00,5.00,270.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/26 1:45:34 PM AST,42.00,2.00,1.00,0.00,3.00,8.00,4.00,20.00,280.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,6.00
2021/06/26 4:00:04 PM AST,35.00,0.00,1.00,0.00,1.00,4.00,0.00,0.00,115.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00
