Timestamp,NB_Selection,NB_Blank,NB_Miss,NB_CxtChange,NB_Idle,T_Idle,NB_QA,T_QA,T_Total,RT_Success,NB_Block,NB_Typos,NB_DesignErr,NB_Bug,Detection,RT_Recover,T_Recover
2021/06/08 4:45:04 PM AST,98.00,13.00,2.00,13.00,1.00,12.00,3.00,18.00,305.00,1.00,0.00,0.00,3.00,0.00,1.00,1.00,5.00
2021/06/10 2:28:46 PM AST,42.00,3.00,2.00,9.00,2.00,26.00,2.00,60.00,410.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/10 4:03:30 PM AST,35.00,7.00,2.00,9.00,2.00,16.00,4.00,18.00,370.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/10 6:06:21 PM AST,39.00,3.00,0.00,9.00,4.00,30.00,2.00,6.00,380.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/14 2:37:17 PM AST,76.00,9.00,4.00,11.00,6.00,35.00,6.00,44.00,750.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/14 4:14:06 PM AST,36.00,2.00,1.00,14.00,1.00,3.00,1.00,4.00,290.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/15 9:56:44 AM AST,41.00,0.00,2.00,5.00,0.00,0.00,0.00,0.00,160.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/15 2:30:54 PM AST,94.00,18.00,0.00,20.00,4.00,14.00,2.00,12.00,390.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/16 8:23:29 PM AST,77.00,11.00,3.00,15.00,1.00,3.00,2.00,9.00,440.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,6.00
2021/06/17 1:11:18 PM AST,62.00,8.00,1.00,13.00,3.00,12.00,6.00,42.00,480.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/17 2:50:52 PM AST,54.00,7.00,2.00,16.00,2.00,4.00,1.00,3.00,300.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/17 6:28:55 PM AST,68.00,6.00,2.00,9.00,3.00,12.00,3.00,40.00,545.00,1.00,0.00,2.00,0.00,0.00,0.00,1.00,14.00
2021/06/18 3:59:30 PM AST,33.00,3.00,0.00,5.00,0.00,0.00,0.00,0.00,210.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/21 5:35:54 AM AST,42.00,3.00,0.00,3.00,2.00,4.00,1.00,6.00,295.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/21 5:27:43 PM AST,53.00,3.00,0.00,9.00,5.00,17.00,1.00,6.00,350.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/21 8:01:14 PM AST,42.00,2.00,0.00,12.00,2.00,10.00,0.00,0.00,245.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/22 5:47:10 PM AST,64.00,5.00,0.00,7.00,2.00,14.00,2.00,8.00,390.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/22 8:50:15 PM AST,62.00,6.00,3.00,13.00,3.00,14.00,6.00,56.00,605.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/23 12:54:20 PM AST,42.00,0.00,0.00,5.00,2.00,8.00,1.00,6.00,235.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/25 1:21:53 PM AST,89.00,9.00,0.00,12.00,4.00,17.00,0.00,0.00,330.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/26 1:45:34 PM AST,30.00,0.00,0.00,5.00,2.00,6.00,0.00,0.00,160.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021/06/26 4:00:04 PM AST,41.00,6.00,0.00,5.00,2.00,4.00,0.00,0.00,240.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
