ALT;name;generation;DISCR
evo;evo_20180305-2250;20;0,99
evo;evo_20180305-2251;29;1,0
evo;evo_20180305-2252;118;1,0
evo;evo_20180305-2254;202;0,98
evo;evo_20180305-2255;44;1,0
evo;evo_20180305-2256;119;0,99
evo;evo_20180305-2259;70;0,96
evo;evo_20180305-2300;24;0,98
evo;evo_20180305-2301;38;0,99
evo;evo_20180305-2302;39;1,0
evo;evo_20180305-2303;71;1,0
evo;evo_20180305-2304;26;0,99
evo;evo_20180305-2305;26;0,99
evo;evo_20180305-2306;385;1,0
evo;evo_20180305-2308;83;1,0
evo;evo_20180305-2310;206;0,98
evo;evo_20180305-2311;233;0,98
evo;evo_20180305-2312;48;1,0
evo;evo_20180305-2314;72;1,0
evo;evo_20180305-2315;20;1,0
evo;evo_20180305-2316;208;0,99
evo;evo_20180305-2317;67;1,0
evo;evo_20180305-2319;327;1,0
evo;evo_20180305-2323;23;1,0
evo;evo_20180305-2324;21;1,0
evo;evo_20180305-2325;65;1,0
evo;evo_20180305-2328;432;1,0
evo;evo_20180306-0944;31;1,0
evo;evo_20180306-0945;112;1,0
evo;evo_20180306-0947;35;1,0
evo;evo_20180306-0949;137;1,0
evo;evo_20180306-0950;26;1,0
evo;evo_20180306-0951;94;1,0
evo;evo_20180306-0952;71;0,99
evo;evo_20180306-0954;37;0,98
evo;evo_20180306-0955;74;1,0
evo;evo_20180306-0957;15;1,0
evo;evo_20180306-0958;13;1,0
evo;evo_20180306-0959;89;0,99
evo;evo_20180306-1000;14;0,99
evo;evo_20180306-1001;43;0,99
evo;evo_20180306-1003;95;1,0
evo;evo_20180306-1004;14;1,0
evo;evo_20180306-1005;36;1,0
evo;evo_20180306-1006;115;1,0
evo;evo_20180306-1008;28;1,0
evo;evo_20180306-1009;198;1,0
evo;evo_20180306-1011;16;1,0
evo;evo_20180306-1012;21;0,99
evo;evo_20180306-1013;41;0,98
evo;evo_20180306-1014;15;1,0
evo;evo_20180306-1016;15;0,98
evo;evo_20180308-1744;78;1,0
evo;evo_20180308-1745;314;0,85
evo;evo_20180308-1746;34;1,0
evo;evo_20180308-1747;482;1,0
evo;evo_20180308-1749;13;1,0
evo;evo_20180308-1750;158;1,0
evo;evo_20180308-1751;49;0,99
evo;evo_20180308-1753;86;1,0
evo;evo_20180308-1754;163;0,97
evo;evo_20180308-1756;108;1,0
evo;evo_20180308-1757;32;0,95
evo;evo_20180308-1758;151;1,0
evo;evo_20180308-1759;17;0,99
evo;evo_20180308-1800;17;1,0
evo;evo_20180308-1801;10;1,0
evo;evo_20180308-1804;13;1,0
evo;evo_20180308-1805;12;1,0
evo;evo_20180308-1806;118;1,0
evo;evo_20180308-1807;29;0,98
evo;evo_20180308-1808;27;0,87
evo;evo_20180308-1809;54;1,0
evo;evo_20180308-1810;23;1,0
evo;evo_20180308-1811;20;0,99
evo;evo_20180308-1814;146;0,95
evo;evo_20180308-1815;44;0,95
evo;evo_20180308-1816;23;1,0
