ALT;name;generation;DISCR
evo;evo_20180306-0012;2999;0,82
evo;evo_20180306-0024;2999;0,76
evo;evo_20180306-0036;2999;0,71
evo;evo_20180306-0048;2799;0,7
evo;evo_20180306-0056;1152;0,81
evo;evo_20180306-0059;797;0,74
evo;evo_20180306-0102;2999;0,77
evo;evo_20180306-0111;2999;0,68
evo;evo_20180306-0117;2999;0,75
evo;evo_20180306-0124;2999;0,73
evo;evo_20180306-0130;2999;0,75
evo;evo_20180306-0137;2999;0,62
evo;evo_20180306-0142;2999;0,68
evo;evo_20180306-0148;2999;0,66
evo;evo_20180306-0851;2999;0,74
evo;evo_20180306-0902;2999;0,62
evo;evo_20180306-0913;2999;0,81
evo;evo_20180306-0920;2999;0,49
evo;evo_20180306-1017;2999;0,49
evo;evo_20180306-1052;2999;0,61
evo;evo_20180306-1158;2999;0,69
evo;evo_20180306-1241;2999;0,76
evo;evo_20180306-1437;2999;0,82
evo;evo_20180306-1509;2999;0,55
evo;evo_20180306-1533;2999;0,8
evo;evo_20180306-1601;2999;0,8
evo;evo_20180306-1612;2999;0,71
evo;evo_20180306-1620;2999;0,71
evo;evo_20180306-1634;2999;0,51
evo;evo_20180306-1640;2999;0,52
evo;evo_20180306-1645;2999;0,51
evo;evo_20180306-1648;2999;0,55
evo;evo_20180306-1649;2644;0,8
evo;evo_20180306-1659;2999;0,75
evo;evo_20180306-1700;2999;0,62
evo;evo_20180306-1701;617;0,75
evo;evo_20180306-1703;2999;0,76
evo;evo_20180306-1712;2999;0,53
evo;evo_20180306-1714;1816;0,76
evo;evo_20180306-1723;1137;0,8
evo;evo_20180306-1728;2999;0,75
evo;evo_20180306-1738;2161;0,8
evo;evo_20180306-1741;811;0,8
evo;evo_20180306-1744;2999;0,81
evo;evo_20180306-1749;2999;0,73
evo;evo_20180306-1756;2043;0,8
evo;evo_20180306-1800;2999;0,48
evo;evo_20180306-1802;2999;0,49
evo;evo_20180306-1808;2999;0,81
evo;evo_20180306-1809;2999;0,75
evo;evo_20180306-1812;2999;0,47
evo;evo_20180306-1818;2999;0,6
evo;evo_20180306-1823;2999;0,74
evo;evo_20180306-1824;2999;0,55
evo;evo_20180306-1837;1772;0,73
evo;evo_20180306-1840;963;0,79
evo;evo_20180306-1844;2999;0,79
evo;evo_20180306-1850;1506;0,8
evo;evo_20180306-1855;2999;0,73
evo;evo_20180306-1907;2999;0,8
evo;evo_20180306-1921;2999;0,74
evo;evo_20180306-1932;2999;0,71
evo;evo_20180306-1937;2999;0,81
evo;evo_20180306-2002;2999;0,48
evo;evo_20180306-2103;2999;0,8
evo;evo_20180306-2124;2999;0,56
evo;evo_20180306-2139;2999;0,46
evo;evo_20180306-2249;2999;0,78
evo;evo_20180306-2251;2999;0,55
evo;evo_20180306-2344;2999;0,81
evo;evo_20180307-0000;2999;0,71
evo;evo_20180307-0138;2999;0,53
evo;evo_20180307-0255;2999;0,66
evo;evo_20180307-0257;2999;0,6
evo;evo_20180307-0439;2999;0,8
evo;evo_20180307-0540;2999;0,75
evo;evo_20180307-0733;2999;0,7
evo;evo_20180307-0742;2999;0,6
evo;evo_20180307-0812;2999;0,74
evo;evo_20180307-0842;2999;0,61
evo;evo_20180308-1746;2999;0,61
evo;evo_20180308-1757;936;0,75
evo;evo_20180308-1801;2999;0,8
evo;evo_20180308-1816;2441;0,69
evo;evo_20180308-1827;2999;0,81
evo;evo_20180308-1840;2999;0,77
evo;evo_20180308-1853;1153;0,75
evo;evo_20180308-1859;2999;0,55
evo;evo_20180308-1911;2999;0,75
evo;evo_20180308-1920;2999;0,62
evo;evo_20180308-1936;570;0,8
evo;evo_20180308-1938;1118;0,75
evo;evo_20180308-1943;1815;0,8
evo;evo_20180308-1952;2999;0,48
evo;evo_20180308-2001;2999;0,65
evo;evo_20180308-2018;1978;0,75
evo;evo_20180308-2028;2999;0,71
evo;evo_20180308-2040;2766;0,79
evo;evo_20180308-2102;1369;0,8
evo;evo_20180308-2107;2999;0,64
obj;evo_tfidf_20180306-0044;80;0,71
obj;evo_tfidf_20180306-0055;1468;0,79
obj;evo_tfidf_20180306-0104;1370;0,8
obj;evo_tfidf_20180306-0111;1975;0,77
obj;evo_tfidf_20180306-0125;1464;0,78
obj;evo_tfidf_20180306-0135;447;0,79
obj;evo_tfidf_20180306-0138;138;0,81
obj;evo_tfidf_20180306-0139;176;0,78
obj;evo_tfidf_20180306-0140;1153;0,75
obj;evo_tfidf_20180306-0149;104;0,76
obj;evo_tfidf_20180306-0150;189;0,8
obj;evo_tfidf_20180306-0152;352;0,8
obj;evo_tfidf_20180306-0155;136;0,79
obj;evo_tfidf_20180306-0156;147;0,72
obj;evo_tfidf_20180306-0157;250;0,8
obj;evo_tfidf_20180306-0851;1996;0,65
obj;evo_tfidf_20180306-0903;683;0,78
obj;evo_tfidf_20180306-0910;228;0,75
obj;evo_tfidf_20180306-0911;410;0,8
obj;evo_tfidf_20180306-1047;454;0,75
obj;evo_tfidf_20180306-1213;1865;0,83
obj;evo_tfidf_20180306-1332;2020;0,75
obj;evo_tfidf_20180306-1456;963;0,81
obj;evo_tfidf_20180306-1600;465;0,71
obj;evo_tfidf_20180306-1610;57;0,8
obj;evo_tfidf_20180306-1611;864;0,79
obj;evo_tfidf_20180306-1631;373;0,8
obj;evo_tfidf_20180306-1634;1635;0,8
obj;evo_tfidf_20180306-1640;112;0,8
obj;evo_tfidf_20180306-1642;151;0,8
obj;evo_tfidf_20180306-1646;97;0,79
obj;evo_tfidf_20180306-1705;104;0,79
obj;evo_tfidf_20180306-1706;144;0,8
obj;evo_tfidf_20180306-1707;280;0,8
